,route,longueur,TMJA,Nb_poids_lourds,ratio_PL
8,N0007,"503021124415163472867194399791299342,3706,7648,5425,5119317085018455456231133127317795578792558495512177110225512049285021701303225543737224286828622167343,1614,62,3",1175847.0,904151.0,77.0
10,N0087,"5001988745174619915457,8588,23505",733132.0,377954.0,52.0
3,A0043,125545606245620542006165311711348387065012755,682461.0,73276.0,11.0
2,A0041,5001450780301028203540148010175944539502849,509799.0,20175.0,4.0
1,A0007N,90646369184704,378864.0,60368.0,16.0
4,A0048,2601590454130380820174935,312627.0,19724.0,6.0
0,A0007,102457385265028826,291786.0,56487.0,19.0
9,N0085,1988175124490538311,211442.0,156464.0,74.0
5,A0049,95121342710488110731865,118883.0,8202.0,7.0
6,A0051N,62229431435142326843,80092.0,2894.0,4.0
7,A0432,1310246123,70683.0,18822.0,27.0
