﻿Commune;Cumul des primes vélos 2019 (€);Nombre de primes attribuées 2019;Cumul des primes vélos 2020;Nombre de primes attribuées 2020 (€);Cumul des primes vélos 2021;Nombre de primes attribuées 2021 (€);Cumul des primes vélos 2022;Nombre de primes attribuées 2022 (€);Cumul des primes vélos 2023;Nombre de primes attribuées 2023 (€);Cumul des primes vélos 2024;Nombre de primes attribuées 2024 (€)
GEISPITZEN;;;400;2;1100;6;400;2;100;1;;
HAGENTHAL-LE-BAS;1600;9;2000;12;1700;9;3100;16;1800;10;1100;6
HELFRANTZKIRCH;600;3;1000;5;1100;6;800;5;;;600;5
KOETZINGUE;1000;5;749;4;400;2;400;2;700;5;;
LEYMEN;1000;5;2100;13;1000;6;700;4;1200;6;400;2
LIEBENSWILLER;200;1;200;1;;;200;1;200;1;;
MICHELBACH-LE-HAUT;600;3;1400;7;600;3;500;3;400;3;300;3
NEUWILLER;500;3;800;4;200;1;700;4;500;3;200;1
RANSPACH-LE-BAS;800;4;800;4;1100;6;1400;7;100;1;300;2
RANSPACH-LE-HAUT;;;1000;5;500;3;1100;7;300;2;300;2
RANTZWILLER;200;2;2000;10;1200;6;800;5;600;3;100;1
SCHLIERBACH;400;2;800;4;1700;10;800;4;600;3;500;3
STEINBRUNN-LE-HAUT;600;3;200;1;600;3;300;2;200;1;100;1
STETTEN;;;400;4;500;3;800;4;;;400;2
UFFHEIM;1000;5;700;4;1400;7;1099;6;500;3;600;4
WALTENHEIM;500;3;1200;7;900;5;800;4;300;2;200;1
WENTZWILLER;1000;6;600;3;1000;6;1200;6;1300;7;200;1
BLOTZHEIM;3998;26;7299;45;6200;37;5078;30;3679;22;2987;19
BRINCKHEIM;400;2;1100;6;1200;6;800;4;300;2;;
BUSCHWILLER;1200;8;1900;10;1100;7;1900;10;1499;8;200;1
ATTENSCHWILLER;400;2;1100;6;1500;9;900;5;1200;7;100;1
HAGENTHAL-LE-HAUT;1000;6;1464;8;700;4;800;5;800;4;;
BARTENHEIM;3799;24;6899;39;6258;34;2574;16;2300;13;1899;12
KAPPELEN;400;2;1200;7;600;4;300;2;;;700;4
FOLGENSBOURG;1000;5;1200;6;1500;9;1000;5;700;4;700;4
KEMBS;4500;27;6799;43;8000;49;6700;40;5884;36;4884;30
HEGENHEIM;4400;25;6678;37;4700;30;3589;20;1900;11;1100;7
ROSENAU;3878;24;4000;24;2200;15;3500;20;1500;10;1200;7
HESINGUE;2684;18;4500;26;5000;27;4200;27;2300;14;2200;14
SAINT-LOUIS;15083;107;24805;161;15468;98;22036;145;13674;95;10862;71
HUNINGUE;6912;49;8281;51;10398;65;7274;45;6965;42;4400;33
WAHLBACH;;;1000;6;;;400;2;400;2;;
KNOERINGUE;400;2;500;3;700;4;200;1;400;2;200;1
ZAESSINGUE;;;100;1;;;600;3;300;2;;
LANDSER;1308;8;900;6;1700;9;700;4;400;2;569;4
MAGSTATT-LE-BAS;400;2;600;4;900;5;500;3;500;3;900;5
MAGSTATT-LE-HAUT;;;;0;;;100;1;200;1;400;2
MICHELBACH-LE-BAS;900;5;600;3;1200;7;200;1;1400;8;200;1
SIERENTZ;849;7;2000;14;4600;29;3400;20;1200;9;1387;9
VILLAGE-NEUF;6853;43;8363;57;5600;35;7500;48;5656;32;3200;19
