Commune,Km_de_pistes,Nbr_habitants,Km/habitants,Commune_seule,Superficie,Km/superficie,Densité,Km/densité
Eybens,21.56653664341278,9849.99902,0.0021894963237684443,Eybens,4.5,4.792563698536173,2188.888671111111,0.009852733456958
Fontaine,34.66744978202718,22802.57314,0.0015203306034446591,Fontaine,6.7,5.174246236123459,3403.3691253731345,0.010186215043079216
Grenoble,147.57676635903437,154445.99597,0.0009555234205469469,Grenoble,18.13,8.139920924381377,8518.808382239382,0.017323639614516148
La Tronche,17.228973657147787,5737.53344,0.003002853724046929,La Tronche,6.4,2.6920271339293413,896.4896,0.019218263833900344
Le Pont-de-Claix,12.628409890576213,10618.99429,0.0011892284283897296,Le Pont-de-Claix,5.6,2.2550731947457523,1896.2489803571432,0.006659679198982485
Meylan,40.007061578005946,18196.12724,0.0021986580468650284,Meylan,12.3,3.252606632358207,1479.359938211382,0.027043493976439854
Poisat,2.578464138512691,2100.00399,0.0012278377330667313,Poisat,2.6,0.991716976351035,807.6938423076923,0.0031923781059735017
Saint-Martin-d'Hères,51.07239971794193,35739.03295,0.001429036980082639,Saint-Martin-d'Hères,9.3,5.491655883649669,3842.906768817204,0.013290043914768544
Saint-Martin-le-Vinoux,12.372418717669033,5602.01668,0.0022085651336670124,Saint-Martin-le-Vinoux,10.1,1.2249919522444588,554.6551168316831,0.022306507850036825
Saint-Égrève,36.713555326255715,16687.32775,0.002200085950026104,Saint-Égrève,10.9,3.3682160849775884,1530.9475,0.023980936855284532
Seyssinet-Pariset,16.407326109679516,11565.99899,0.001418582702961097,Seyssinet-Pariset,10.65,1.5405940009088748,1086.0092948356807,0.015107905786535682
Échirolles,36.48801550207772,36165.99275,0.0010089040208104815,Échirolles,7.9,4.618736139503509,4577.973765822784,0.007970341764402806
